valor_actual,valor_optimo,iteracion,modelo
0.8003197282623372,0.8003197282623372,0,Genetico
0.8287713141970159,0.8287713141970159,1,Genetico
0.983643167621453,0.983643167621453,2,Genetico
0.983643167621453,0.983643167621453,3,Genetico
0.9867708713685406,0.9867708713685406,4,Genetico
0.9972670802632957,0.9972670802632957,5,Genetico
0.9972670802632957,0.9972670802632957,6,Genetico
0.9972670802632957,0.9972670802632957,7,Genetico
0.9979530144323734,0.9979530144323734,8,Genetico
1.0,1.0,9,Genetico
1.0,1.0,10,Genetico
1.0,1.0,11,Genetico
1.0,1.0,12,Genetico
1.0,1.0,13,Genetico
1.0,1.0,14,Genetico
1.0,1.0,15,Genetico
1.0,1.0,16,Genetico
1.0,1.0,17,Genetico
1.0,1.0,18,Genetico
1.0,1.0,19,Genetico
1.0,1.0,20,Genetico
1.0,1.0,21,Genetico
1.0,1.0,22,Genetico
1.0,1.0,23,Genetico
1.0,1.0,24,Genetico
1.0,1.0,25,Genetico
1.0,1.0,26,Genetico
1.0,1.0,27,Genetico
1.0,1.0,28,Genetico
1.0,1.0,29,Genetico
1.0,1.0,30,Genetico
1.0,1.0,31,Genetico
1.0,1.0,32,Genetico
1.0,1.0,33,Genetico
1.0,1.0,34,Genetico
1.0,1.0,35,Genetico
1.0,1.0,36,Genetico
1.0,1.0,37,Genetico
1.0,1.0,38,Genetico
1.0,1.0,39,Genetico
1.0,1.0,40,Genetico
1.0,1.0,41,Genetico
1.0,1.0,42,Genetico
1.0,1.0,43,Genetico
1.0,1.0,44,Genetico
1.0,1.0,45,Genetico
1.0,1.0,46,Genetico
1.0,1.0,47,Genetico
1.0,1.0,48,Genetico
1.0,1.0,49,Genetico
1.0,1.0,50,Genetico
1.0,1.0,51,Genetico
1.0,1.0,52,Genetico
1.0,1.0,53,Genetico
1.0,1.0,54,Genetico
1.0,1.0,55,Genetico
1.0,1.0,56,Genetico
1.0,1.0,57,Genetico
1.0,1.0,58,Genetico
1.0,1.0,59,Genetico
1.0,1.0,60,Genetico
1.0,1.0,61,Genetico
1.0,1.0,62,Genetico
1.0,1.0,63,Genetico
1.0,1.0,64,Genetico
1.0,1.0,65,Genetico
1.0,1.0,66,Genetico
1.0,1.0,67,Genetico
1.0,1.0,68,Genetico
1.0,1.0,69,Genetico
1.0,1.0,70,Genetico
1.0,1.0,71,Genetico
1.0,1.0,72,Genetico
1.0,1.0,73,Genetico
1.0,1.0,74,Genetico
1.0,1.0,75,Genetico
1.0,1.0,76,Genetico
1.0,1.0,77,Genetico
1.0,1.0,78,Genetico
1.0,1.0,79,Genetico
1.0,1.0,80,Genetico
1.0,1.0,81,Genetico
1.0,1.0,82,Genetico
1.0,1.0,83,Genetico
1.0,1.0,84,Genetico
1.0,1.0,85,Genetico
1.0,1.0,86,Genetico
1.0,1.0,87,Genetico
1.0,1.0,88,Genetico
1.0,1.0,89,Genetico
1.0,1.0,90,Genetico
1.0,1.0,91,Genetico
1.0,1.0,92,Genetico
1.0,1.0,93,Genetico
1.0,1.0,94,Genetico
1.0,1.0,95,Genetico
1.0,1.0,96,Genetico
1.0,1.0,97,Genetico
1.0,1.0,98,Genetico
1.0,1.0,99,Genetico
